account_number,date_issued,micr_code,starting_cheque_number,pages
11000000122,2019-10-07,160373995,16037399521,75
11000000123,2020-10-16,967195543,96719554306,75
11000000124,2019-02-25,825483732,82548373217,50
11000000125,2019-04-21,439663745,43966374515,25
11000000126,2020-11-28,894143284,89414328432,100
11000000127,2020-03-06,817054309,81705430969,50
11000000128,2019-06-12,859551506,85955150604,75
11000000129,2020-06-10,514589545,51458954517,100
11000000130,2019-05-13,206862997,20686299744,75
11000000131,2019-01-10,617208433,61720843384,100
11000000132,2020-08-20,883516429,88351642959,25
11000000133,2020-09-02,979275406,97927540648,100
11000000134,2019-12-08,877539016,87753901650,50
11000000135,2019-07-13,227752164,22775216462,25
11000000136,2020-05-16,446752265,44675226599,25
11000000137,2020-05-23,213957957,21395795769,50
11000000138,2020-09-03,908358450,90835845066,50
11000000139,2019-12-19,727164309,72716430922,25
11000000140,2019-11-08,438703395,43870339555,25
11000000141,2020-04-26,524418245,52441824543,25
11000000142,2019-02-04,694450306,69445030654,50
11000000143,2020-09-23,268310753,26831075343,100
11000000144,2020-09-15,929140236,92914023652,25
11000000145,2020-07-27,666358374,66635837492,75
11000000146,2019-07-12,581142143,58114214394,75
11000000147,2019-12-22,111018229,11101822958,75
11000000148,2019-04-25,771113512,77111351249,25
11000000149,2019-01-01,562189468,56218946837,100
11000000150,2019-10-14,297912285,29791228550,100
11000000151,2020-04-17,848764034,84876403443,75
11000000152,2019-04-30,522848079,52284807981,100
11000000153,2019-05-15,392082483,39208248351,100
11000000154,2019-05-06,702476129,70247612960,100
11000000155,2020-05-29,942045800,94204580008,25
11000000156,2020-05-17,271868218,27186821845,100
11000000157,2019-04-19,531465011,53146501199,50
11000000158,2020-11-28,503307401,50330740106,50
11000000159,2019-06-27,281639889,28163988968,50
11000000160,2020-02-26,212321608,21232160809,50
11000000161,2020-06-08,163104102,16310410253,100
11000000162,2019-10-24,454384520,45438452008,50
11000000163,2019-08-31,231226477,23122647771,75
11000000164,2019-04-21,334770120,33477012016,25
11000000165,2020-06-29,313497688,31349768857,100
11000000166,2019-09-01,232064762,23206476217,50
11000000167,2020-04-21,940754276,94075427672,25
11000000168,2019-06-08,436641663,43664166316,25
11000000169,2020-01-08,150503927,15050392745,75
11000000170,2019-09-08,510727447,51072744761,100
11000000171,2020-07-11,579436740,57943674020,100
11000000172,2019-03-12,351087398,35108739839,100
11000000173,2020-08-11,231969442,23196944290,100
11000000174,2020-03-15,251190863,25119086365,25
11000000175,2020-07-09,410416800,41041680093,50
11000000176,2020-02-25,922165390,92216539011,75
11000000177,2020-12-20,313575348,31357534890,75
11000000178,2019-02-28,503895431,50389543127,75
11000000179,2020-08-11,817906228,81790622833,100
11000000180,2019-10-08,725071548,72507154888,50
11000000181,2020-07-03,408201184,40820118429,75
11000000182,2020-02-04,207459580,20745958013,75
11000000183,2020-03-26,402000594,40200059456,100
11000000184,2020-09-16,641565223,64156522378,50
11000000185,2020-10-16,138814103,13881410389,25
11000000186,2019-03-08,932452226,93245222609,75
11000000187,2019-09-01,276389870,27638987018,50
11000000188,2019-05-28,652787193,65278719395,50
11000000189,2019-10-08,642223227,64222322747,100
11000000190,2020-09-13,280089885,28008988536,25
11000000191,2020-12-02,239830002,23983000260,75
11000000192,2020-01-01,504343804,50434380413,75
11000000193,2019-04-30,361995154,36199515429,75
11000000194,2019-01-12,696054235,69605423539,50
11000000195,2020-01-07,243509282,24350928237,50
11000000196,2019-03-29,131831594,13183159452,75
11000000197,2020-12-05,415409489,41540948924,75
11000000198,2019-01-23,100739098,10073909807,50
11000000199,2020-09-22,443338980,44333898023,75
11000000200,2020-05-17,808902728,80890272843,50
11000000201,2020-05-03,531539933,53153993376,75
11000000202,2019-12-04,568974764,56897476436,100
11000000203,2020-08-27,808716358,80871635831,50
11000000204,2020-02-06,594522190,59452219023,25
11000000205,2019-05-30,635378370,63537837020,50
11000000206,2019-11-12,414639999,41463999949,100
11000000207,2020-05-09,757453238,75745323843,25
11000000208,2020-04-17,111243470,11124347002,100
11000000209,2019-11-22,896376859,89637685939,25
11000000210,2020-04-17,648561024,64856102464,100
11000000211,2019-08-16,500332498,50033249802,100
11000000212,2020-03-28,582130394,58213039485,25
11000000213,2020-05-04,868863798,86886379893,75
11000000214,2020-09-03,581709852,58170985252,100
11000000215,2019-08-27,608149669,60814966991,100
11000000216,2020-04-29,590378429,59037842901,50
11000000217,2019-01-15,226498499,22649849961,100
11000000218,2019-02-15,739952198,73995219840,75
11000000219,2020-03-24,959116213,95911621394,75
11000000220,2020-04-24,202739503,20273950322,50
11000000221,2020-09-04,433259265,43325926545,25
11000000222,2019-10-28,541459494,54145949416,25
11000000223,2020-07-24,285145526,28514552667,25
11000000224,2019-04-19,915530390,91553039019,100
11000000225,2020-01-25,299418326,29941832642,75
11000000226,2019-05-16,263386540,26338654015,75
11000000227,2020-11-05,211812477,21181247706,100
11000000228,2020-09-10,440305186,44030518625,25
11000000229,2019-05-31,242538057,24253805781,50
11000000230,2019-02-14,790530627,79053062742,25
11000000231,2020-11-15,478671254,47867125449,25
11000000232,2020-10-07,145198423,14519842306,50
11000000233,2019-07-28,110730304,11073030474,100
11000000234,2020-08-22,795425802,79542580242,100
11000000235,2019-09-27,634136965,63413696588,100
11000000236,2020-12-16,707496236,70749623687,25
11000000237,2019-08-01,728252957,72825295723,75
11000000238,2020-08-10,446689252,44668925210,50
11000000239,2019-07-11,722279355,72227935554,75
11000000240,2020-01-28,413168244,41316824460,75
11000000241,2020-02-03,891974299,89197429949,50
11000000242,2020-09-03,180425005,18042500577,75
11000000243,2019-11-05,317648143,31764814351,100
11000000244,2020-03-08,959894269,95989426909,100
11000000245,2019-12-08,381318278,38131827893,100
11000000246,2020-08-05,898103804,89810380408,75
11000000247,2020-10-05,218642907,21864290773,25
11000000248,2020-03-20,881545472,88154547234,75
11000000249,2019-06-29,944010612,94401061285,25
11000000250,2020-07-10,673575613,67357561303,100
11000000251,2019-05-01,679960428,67996042849,75
11000000252,2019-11-20,514129971,51412997107,25
11000000253,2019-10-16,585277575,58527757580,25
11000000254,2020-04-24,261735467,26173546790,100
11000000255,2019-05-10,250296834,25029683437,25
11000000256,2019-10-14,865889587,86588958784,100
11000000257,2019-09-05,919106678,91910667866,100
11000000258,2020-07-17,701850375,70185037561,100
11000000259,2019-04-20,382751620,38275162029,25
11000000260,2019-07-14,337534220,33753422048,50
11000000261,2019-01-02,136760051,13676005147,25
11000000262,2019-08-14,999669583,99966958397,50
11000000263,2019-07-27,402274655,40227465555,25
11000000264,2020-08-10,562526854,56252685460,75
11000000265,2020-04-25,809938913,80993891385,25
11000000266,2019-10-07,354177944,35417794429,75
11000000267,2020-04-16,747017508,74701750884,75
11000000268,2020-01-05,501882469,50188246915,50
11000000269,2019-11-30,873828828,87382882832,100
11000000270,2020-03-07,167215523,16721552346,100
11000000271,2019-01-06,848594277,84859427705,75
11000000272,2020-10-04,633120378,63312037891,50
11000000273,2020-05-01,728713197,72871319754,75
11000000274,2020-08-26,537175314,53717531482,50
11000000275,2019-04-18,380027103,38002710308,50
12000000000,2020-12-14,918809923,91880992380,100
12000000001,2020-03-10,157924096,15792409673,100
12000000002,2019-03-19,391603616,39160361688,75
12000000003,2020-04-26,679545866,67954586679,25
12000000004,2019-04-21,326575336,32657533641,75
12000000005,2020-06-30,684606578,68460657812,25
12000000006,2019-04-21,257766239,25776623928,100
12000000007,2020-08-16,153431233,15343123364,50
12000000008,2019-06-30,199476387,19947638758,50
12000000009,2020-05-18,180104566,18010456631,75
12000000010,2019-01-27,705107133,70510713394,100
12000000011,2019-08-09,471734579,47173457921,75
12000000012,2020-04-14,343357508,34335750812,100
12000000013,2020-02-17,192733984,19273398444,25
12000000014,2020-12-05,319013760,31901376004,100
12000000015,2019-07-21,296977973,29697797321,25
12000000016,2020-12-14,306058092,30605809249,25
12000000017,2019-07-28,387289914,38728991415,50
12000000018,2020-11-06,381417461,38141746190,100
12000000019,2019-05-25,427831888,42783188894,50
12000000020,2019-11-01,672303335,67230333533,25
12000000021,2019-09-18,572842473,57284247390,50
12000000022,2019-11-23,340494967,34049496763,25
12000000023,2020-05-07,397287857,39728785707,25
12000000024,2019-10-01,587645311,58764531102,75
12000000025,2019-04-08,749207668,74920766823,100
12000000026,2020-09-17,549100480,54910048091,75
12000000027,2019-05-22,937987937,93798793771,75
12000000028,2019-11-16,954999484,95499948466,100
12000000029,2020-09-12,420936458,42093645809,100
12000000030,2019-03-02,539546195,53954619512,25
12000000031,2020-12-27,716141948,71614194883,75
12000000032,2020-10-17,118123571,11812357157,100
12000000033,2019-02-03,611747649,61174764959,50
12000000034,2019-02-25,280962446,28096244674,50
12000000035,2020-12-14,939858695,93985869543,25
12000000036,2020-11-15,357810171,35781017104,50
12000000037,2019-01-25,162036962,16203696230,25
12000000038,2019-10-20,134706585,13470658552,75
12000000039,2019-07-06,767736113,76773611346,25
12000000040,2019-01-04,478616598,47861659847,25
12000000041,2020-08-27,607426817,60742681778,50
12000000042,2020-01-30,283153459,28315345902,100
12000000043,2019-05-29,479200567,47920056778,75
12000000044,2019-06-23,456630259,45663025944,100
12000000045,2020-04-21,317278109,31727810999,50
12000000046,2019-05-24,657688342,65768834254,75
12000000047,2019-07-09,319354362,31935436206,50
12000000048,2019-05-31,452069105,45206910558,50
12000000049,2020-07-22,918668025,91866802576,25
12000000050,2019-10-24,532836462,53283646291,100
12000000051,2020-06-10,597985752,59798575284,100
12000000052,2020-11-13,464442408,46444240882,75
12000000053,2020-01-08,843543764,84354376422,50
12000000054,2020-12-29,185201691,18520169165,75
12000000055,2019-10-28,104914574,10491457499,100
12000000056,2020-07-16,422547731,42254773101,50
12000000057,2019-04-15,214595519,21459551940,50
12000000058,2019-10-20,938250178,93825017880,50
12000000059,2020-08-25,201991661,20199166150,50
12000000060,2020-07-08,456756158,45675615838,100
12000000061,2020-03-07,128847674,12884767422,75
12000000062,2020-05-16,726962775,72696277510,75
12000000063,2019-10-03,665839638,66583963838,75
12000000064,2019-04-10,296837964,29683796419,25
12000000065,2020-02-23,707050420,70705042094,50
12000000066,2020-08-11,819993932,81999393233,100
12000000067,2019-09-18,584817014,58481701472,75
12000000068,2019-02-22,575007383,57500738304,100
12000000069,2019-04-23,551660119,55166011904,50
12000000070,2019-12-16,831212366,83121236669,75
12000000071,2019-07-27,658707153,65870715301,50
12000000072,2019-04-30,190915463,19091546349,100
12000000073,2020-12-05,696529324,69652932443,25
12000000074,2020-03-22,437362482,43736248208,50
12000000075,2019-01-30,610278408,61027840899,75
12000000076,2019-09-12,612995932,61299593205,75
12000000077,2019-11-28,737384192,73738419287,25
12000000078,2019-04-09,594073845,59407384520,100
12000000079,2020-07-17,694130822,69413082207,75
12000000080,2019-02-02,748869747,74886974714,50
12000000081,2020-12-25,303749076,30374907669,100
12000000082,2020-05-06,808559027,80855902760,75
12000000083,2020-04-03,880139887,88013988735,25
12000000084,2020-03-03,116439836,11643983688,50
12000000085,2019-07-25,770184978,77018497818,25
12000000086,2019-05-13,584078437,58407843772,100
12000000087,2020-12-16,996326705,99632670551,50
12000000088,2020-07-14,186858303,18685830385,50
12000000089,2019-02-24,407540979,40754097948,25
12000000090,2019-09-09,998614597,99861459745,25
12000000091,2019-04-11,339129079,33912907991,100
12000000092,2019-06-23,250723997,25072399786,25
12000000093,2019-11-18,943374386,94337438606,25
12000000094,2020-07-18,718185591,71818559152,25
12000000095,2020-06-17,297817298,29781729881,75
12000000096,2019-12-15,679669461,67966946194,25
12000000097,2019-03-30,234777391,23477739198,75
12000000098,2020-06-11,373841762,37384176278,100
12000000099,2019-12-06,494192625,49419262595,75
12000000100,2019-10-19,816921654,81692165422,25
12000000101,2019-06-20,956555385,95655538537,50
12000000102,2019-10-24,850627113,85062711309,25
12000000103,2020-09-16,908726800,90872680028,50
12000000104,2020-06-03,932471973,93247197335,75
12000000105,2020-12-23,173033886,17303388652,100
12000000106,2019-06-25,946650953,94665095335,50
12000000107,2020-03-09,249944402,24994440263,75
12000000108,2020-11-02,421166669,42116666950,25
12000000109,2020-06-24,392727998,39272799851,75
12000000110,2020-05-09,560902758,56090275832,75
12000000111,2020-12-21,825120496,82512049644,25
12000000112,2019-06-02,605329516,60532951696,100
12000000113,2020-05-11,401690342,40169034238,25
12000000114,2020-04-27,659557438,65955743802,25
12000000115,2019-09-26,587259478,58725947809,100
12000000116,2020-12-17,827454726,82745472663,100
12000000117,2020-10-13,633560929,63356092990,100
12000000118,2020-10-12,352255563,35225556330,75
12000000119,2020-07-26,765841530,76584153008,25
12000000120,2020-02-25,183058164,18305816444,25
12000000121,2019-06-16,562173578,56217357809,50
12000000122,2020-08-10,182207106,18220710629,75
12000000123,2020-04-09,736966867,73696686769,50
12000000124,2019-07-31,548951647,54895164788,75
12000000125,2019-12-25,496031366,49603136660,25
12000000126,2020-02-15,396955109,39695510992,100
12000000127,2020-02-04,252297980,25229798081,25
12000000128,2020-01-28,808005011,80800501110,50
12000000129,2019-08-22,513045170,51304517046,75
12000000130,2020-07-22,120249136,12024913636,75
12000000131,2019-11-12,125594333,12559433332,75
12000000132,2020-06-02,757886946,75788694660,75
12000000133,2019-04-07,598636398,59863639851,100
12000000134,2020-06-26,389716690,38971669035,100
12000000135,2020-07-25,270653629,27065362951,25
12000000136,2020-06-06,718326201,71832620164,25
12000000137,2019-02-07,640637317,64063731726,50
12000000138,2020-03-29,859883792,85988379260,100
12000000139,2019-08-08,795118309,79511830910,100
12000000140,2019-06-03,919110608,91911060849,50
12000000141,2019-04-06,190379123,19037912319,100
12000000142,2020-06-08,695584675,69558467508,75
12000000143,2019-01-18,580875363,58087536372,25
12000000144,2019-06-04,459342062,45934206292,75
12000000145,2019-12-06,420939927,42093992737,100
12000000146,2020-10-01,396913299,39691329962,75
12000000147,2019-08-17,723672125,72367212508,100
12000000148,2020-01-13,477391417,47739141788,75
12000000149,2020-09-15,100732440,10073244025,100
12000000150,2020-07-07,703608032,70360803206,50
12000000151,2020-12-25,662090418,66209041806,100
12000000152,2019-02-03,460548072,46054807292,50
12000000153,2020-09-05,453441965,45344196577,25
12000000154,2020-11-18,124124083,12412408332,25
12000000155,2020-12-31,199165525,19916552569,25
12000000156,2019-10-16,653534832,65353483211,75
12000000157,2019-12-21,493783894,49378389472,75
12000000158,2020-03-03,422636265,42263626532,25
12000000159,2020-09-09,908706541,90870654115,25
12000000160,2019-02-04,895859247,89585924756,100
12000000161,2019-07-18,812630415,81263041572,100
12000000162,2020-02-04,875828434,87582843444,50
12000000163,2020-12-19,422768704,42276870489,50
12000000164,2019-09-19,629398578,62939857895,50
12000000165,2019-03-01,334764422,33476442201,25
12000000166,2020-07-21,780563792,78056379278,50
12000000167,2020-08-24,916748201,91674820163,50
12000000168,2020-12-21,469666377,46966637718,100
12000000169,2020-11-21,487849741,48784974189,50
12000000170,2019-02-01,553393679,55339367969,25
12000000171,2019-01-24,744214065,74421406546,100
12000000172,2020-04-22,626884049,62688404995,25
12000000173,2020-05-27,302164329,30216432921,100
12000000174,2020-08-13,113350984,11335098431,25
12000000175,2020-04-08,924862009,92486200932,25
12000000176,2019-07-26,896282204,89628220476,25
12000000177,2020-04-20,207225071,20722507146,75
12000000178,2020-08-24,380587059,38058705931,100
12000000179,2020-03-25,255868580,25586858076,100
12000000180,2019-03-20,310981675,31098167579,100
12000000181,2019-07-30,303639497,30363949704,75
12000000182,2019-05-03,755149932,75514993227,25
12000000183,2020-09-11,999444526,99944452637,75
12000000184,2020-01-28,665355483,66535548316,75
12000000185,2020-08-03,366352275,36635227535,50
12000000186,2020-10-05,962564377,96256437773,25
12000000187,2019-06-20,697530144,69753014401,100
12000000188,2019-02-08,971948361,97194836129,50
12000000189,2019-06-05,978911049,97891104949,25
12000000190,2020-02-06,265862995,26586299515,25
12000000191,2020-10-17,878345297,87834529730,50
12000000192,2020-11-04,610831379,61083137990,75
12000000193,2019-03-01,407458030,40745803012,50
12000000194,2020-02-24,147330603,14733060379,75
12000000195,2020-06-09,648900892,64890089285,75
12000000196,2020-09-04,366695199,36669519955,75
12000000197,2020-12-04,797861565,79786156508,100
12000000198,2019-08-19,557462488,55746248881,50
12000000199,2019-02-28,912598735,91259873502,50
13000000000,2019-08-11,826035896,82603589650,25
13000000001,2019-10-31,819732829,81973282914,100
13000000002,2020-04-15,413500539,41350053940,100
13000000003,2020-08-16,911690639,91169063973,25
13000000004,2020-04-18,824463367,82446336733,25
13000000005,2019-01-17,387030856,38703085629,25
13000000006,2019-03-08,905399309,90539930961,50
13000000007,2020-09-19,270637474,27063747429,50
13000000008,2019-09-18,192462903,19246290317,25
13000000009,2019-01-23,156540400,15654040015,100
13000000010,2019-07-15,433187558,43318755880,25
13000000011,2019-05-15,708303521,70830352139,100
13000000012,2019-07-13,146866597,14686659771,25
13000000013,2019-11-28,742714626,74271462652,50
13000000014,2020-11-26,456428945,45642894548,75
13000000015,2019-03-16,494440596,49444059636,50
13000000016,2020-05-23,114841550,11484155032,25
13000000017,2020-11-28,390206386,39020638635,75
13000000018,2020-11-06,583848841,58384884188,50
13000000019,2020-06-28,549061216,54906121642,25
13000000020,2019-09-12,757378216,75737821670,75
13000000021,2020-12-19,213869004,21386900467,25
13000000022,2019-09-15,969182747,96918274749,75
13000000023,2020-09-28,222069881,22206988144,75
13000000024,2019-09-21,780062433,78006243355,100
13000000025,2020-03-31,850089477,85008947750,75
13000000026,2020-10-23,207914751,20791475102,75
13000000027,2019-05-08,844915336,84491533690,100
13000000028,2020-05-19,780340888,78034088812,50
13000000029,2019-06-04,763024081,76302408119,100
13000000030,2020-09-27,748812773,74881277378,25
13000000031,2020-10-12,416046991,41604699148,100
13000000032,2020-03-04,982540414,98254041469,75
13000000033,2020-03-31,814638189,81463818978,100
13000000034,2019-07-27,644031055,64403105545,50
13000000035,2019-06-03,867602717,86760271738,50
13000000036,2019-01-15,254577089,25457708915,100
13000000037,2019-10-18,938409624,93840962422,100
13000000038,2019-10-19,662038063,66203806367,25
13000000039,2020-09-18,962024930,96202493045,25
13000000040,2020-03-24,183592385,18359238517,25
13000000041,2019-08-26,453136283,45313628334,75
13000000042,2020-07-16,378741588,37874158829,50
13000000043,2019-06-08,184196413,18419641359,75
13000000044,2020-12-08,111678697,11167869735,50
13000000045,2020-11-23,915496160,91549616012,25
13000000046,2019-07-30,143920989,14392098934,50
13000000047,2020-03-24,327206810,32720681089,100
13000000048,2020-08-05,797408109,79740810987,50
13000000049,2020-04-21,837840136,83784013677,50
14000000000,2019-06-01,392439921,39243992145,75
14000000001,2020-04-09,418005423,41800542303,100
14000000002,2020-07-04,574053511,57405351183,50
14000000003,2020-05-02,191154271,19115427157,25
14000000004,2019-01-23,932701061,93270106151,25
14000000005,2019-05-20,292965022,29296502259,25
14000000006,2020-10-05,821192091,82119209128,50
14000000007,2020-04-08,372211045,37221104507,25
14000000008,2020-08-14,198417690,19841769031,75
14000000009,2019-01-04,912776609,91277660906,25
14000000010,2019-05-09,452807113,45280711314,25
14000000011,2020-05-17,238635639,23863563995,25
14000000012,2019-02-05,494015050,49401505096,100
14000000013,2019-12-06,901113972,90111397253,50
14000000014,2020-02-12,452054744,45205474437,100
14000000015,2019-04-16,505945522,50594552259,25
14000000016,2020-07-01,398838260,39883826081,50
14000000017,2019-03-18,102151630,10215163009,100
14000000018,2019-06-14,850537962,85053796284,50
14000000019,2020-12-01,356578575,35657857579,50
14000000020,2019-12-27,520831010,52083101081,75
14000000021,2019-08-22,678289578,67828957862,25
14000000022,2020-10-15,658231115,65823111569,50
14000000023,2020-11-12,532507005,53250700531,100
14000000024,2020-10-14,806463365,80646336522,50
14000000025,2019-11-08,211332129,21133212921,50
14000000026,2020-07-13,799123938,79912393809,25
14000000027,2019-06-18,370241453,37024145340,100
14000000028,2020-06-15,320424656,32042465680,50
14000000029,2020-11-26,327888482,32788848272,25
14000000030,2020-09-21,697204793,69720479368,75
14000000031,2019-08-14,189861705,18986170517,50
14000000032,2019-12-15,505961111,50596111182,50
14000000033,2020-09-15,542906355,54290635514,75
14000000034,2020-11-23,487578563,48757856334,75
14000000035,2020-10-31,668167021,66816702104,100
14000000036,2020-06-12,924726040,92472604017,25
14000000037,2020-11-12,204020266,20402026604,50
14000000038,2019-12-07,898315794,89831579489,75
14000000039,2019-01-28,210122119,21012211943,75
14000000040,2019-10-24,153623443,15362344343,100
14000000041,2020-02-22,823790203,82379020351,50
14000000042,2019-01-21,960054829,96005482933,75
14000000043,2020-04-29,182480657,18248065722,25
14000000044,2020-06-10,985364761,98536476184,100
14000000045,2020-07-05,106925745,10692574585,50
14000000046,2019-06-25,152430074,15243007498,75
14000000047,2019-05-22,188801015,18880101542,75
14000000048,2019-09-23,739321042,73932104226,25
14000000049,2020-04-12,315235996,31523599681,50
14000000050,2019-12-01,189074905,18907490583,50
14000000051,2020-05-23,346025903,34602590399,50
14000000052,2020-11-21,839741751,83974175187,100
14000000053,2019-01-27,264314321,26431432124,100
